hgnc_id	gene_symbol	mean_depmap_gene_effect_score	depmap_essential_05	depmap_essential_1	mgi_id	viability_impc	viability_mgi	viability_combined	lof_oe	lof_oe_lower	lof_oe_upper	shet_rgcme_mean	shet_rgcme_lower	shet_rgcme_upper	omim_description	omim_mendelian_phenotype_molecular_basis_known	mode_of_inheritance
HGNC:33	ABCA3	-0.025	n	n	MGI:1351617	lethal	lethal	lethal	0.51281	0.431	0.612	0.0281119608720417	0.0247065860947665	0.03205584229171	Surfactant metabolism dysfunction, pulmonary, 3, 610921 (3)	Surfactant metabolism dysfunction, pulmonary, 3	Autosomal recessive
HGNC:34	ABCA4	-0.208	n	n	MGI:109424	viable	viable	viable	0.69761	0.619	0.787	0.0105840187157288	0.00995910690758624	0.0112543125849656	Cone-rod dystrophy 3, 604116 (3)|Fundus flavimaculatus, 248200 (3)|Retinal dystrophy, early-onset severe, 248200 (3)|Retinitis pigmentosa 19, 601718 (3)|Stargardt disease 1, 248200 (3)|{Macular degeneration, age-related, 2}, 153800 (3)	Cone-rod dystrophy 3|Fundus flavimaculatus|Retinal dystrophy, early-onset severe|Retinitis pigmentosa 19|Stargardt disease 1	Autosomal recessive
HGNC:35	ABCA5	0.004	n	n	MGI:2386607	viable	viable	viable	0.81336	0.684	0.971	0.00630751808340821	0.00596434312212341	0.00667474527685087	?Hypertrichosis, congenital generalized, with gingival hyperplasia, 135400 (3)	-	-
HGNC:36	ABCA6	-0.037	n	n	MGI:1923434	viable	viable	viable	0.8895	0.761	1.042	0.00640077604159444	0.00601188660524036	0.00681115374690128	-	-	-
HGNC:37	ABCA7	0.029	n	n	MGI:1351646	viable	viable	viable	1.2339	1.113	1.369	NA	NA	NA	{Alzheimer disease 9, susceptibility to}, 608907 (3)	-	-
HGNC:38	ABCA8	-0.07	n	n	-	-	-	-	0.94286	0.819	1.087	NA	NA	NA	-	-	-
HGNC:39	ABCA9	-0.025	n	n	MGI:2386796	viable	viable	viable	0.8741	0.76	1.007	NA	NA	NA	-	-	-
HGNC:30	ABCA10	0.007	n	n	-	-	-	-	0.90754	0.79	1.045	NA	NA	NA	-	-	-
HGNC:14637	ABCA12	-0.016	n	n	MGI:2676312	lethal	lethal	lethal	0.50915	0.445	0.583	0.0215859962514185	0.0198836693875076	0.0234665667282304	Ichthyosis, congenital, autosomal recessive 4A, 601277 (3)|Ichthyosis, congenital, autosomal recessive 4B (harlequin), 242500 (3)	Ichthyosis, congenital, autosomal recessive 4A|Ichthyosis, congenital, autosomal recessive 4B (harlequin)	Autosomal recessive
HGNC:14638	ABCA13	0.087	n	n	MGI:2388707	viable	viable	viable	0.98164	0.905	1.064	NA	NA	NA	-	-	-
HGNC:40	ABCB1	-0.133	n	n	MGI:97570	-	viable	viable	0.46779	0.382	0.576	0.0363928012620418	0.0312693279046809	0.042313350441295	{Colchicine resistance}, 120080 (3)|{Inflammatory bowel disease 13}, 612244 (3)	-	-
HGNC:45	ABCB4	-0.126	n	n	MGI:97569	viable	viable	viable	0.51053	0.419	0.624	0.0360523561694395	0.0310815445599657	0.0417756386282417	Cholestasis, intrahepatic, of pregnancy, 3, 614972 (3)|Cholestasis, progressive familial intrahepatic 3, 602347 (3)|Gallbladder disease 1, 600803 (3)	Cholestasis, intrahepatic, of pregnancy, 3|Cholestasis, progressive familial intrahepatic 3|Gallbladder disease 1	Autosomal dominant, Autosomal recessive|Autosomal recessive
HGNC:46	ABCB5	-0.053	n	n	MGI:1924956	-	viable	viable	1.0192	0.883	1.179	NA	NA	NA	-	-	-
HGNC:47	ABCB6	0.034	n	n	MGI:1921354	viable	lethal	lethal	0.82689	0.696	0.985	0.0041757626566672	0.00393073718838707	0.00443360962852656	Dyschromatosis universalis hereditaria 3, 615402 (3)|Microphthalmia, isolated, with coloboma 7, 614497 (3)|Pseudohyperkalemia, familial, 2, due to red cell leak, 609153 (3)|[Blood group, Langereis system], 111600 (3)	Dyschromatosis universalis hereditaria 3|Microphthalmia, isolated, with coloboma 7|Pseudohyperkalemia, familial, 2, due to red cell leak	Autosomal dominant
HGNC:48	ABCB7	-1.193	y	y	MGI:109533	-	lethal	lethal	NA	NA	NA	NA	NA	NA	Anemia, sideroblastic, with ataxia, 301310 (3)	Anemia, sideroblastic, with ataxia	X-linked recessive
HGNC:49	ABCB8	0.099	n	n	-	-	-	-	0.71022	0.567	0.895	0.0160453538097928	0.0139374485667622	0.0184531612105504	-	-	-
HGNC:50	ABCB9	0.065	n	n	MGI:1861729	viable	viable	viable	0.60297	0.461	0.796	0.0150091476665693	0.0127398863691274	0.0176843885038052	-	-	-
HGNC:41	ABCB10	-0.053	n	n	MGI:1860508	-	lethal	lethal	0.91085	0.731	1.143	0.01017673435168	0.00893558425037305	0.0115535642813721	-	-	-
HGNC:42	ABCB11	-0.084	n	n	MGI:1351619	subviable	lethal	lethal	0.61164	0.508	0.739	0.0257457564198154	0.0225710463504911	0.0293520181257052	Cholestasis, benign recurrent intrahepatic, 2, 605479 (3)|Cholestasis, progressive familial intrahepatic 2, 601847 (3)	Cholestasis, benign recurrent intrahepatic, 2|Cholestasis, progressive familial intrahepatic 2	Autosomal recessive
HGNC:51	ABCC1	-0.024	n	n	MGI:102676	-	viable	viable	0.46875	0.39	0.565	0.0349116188864113	0.0303377947810981	0.040081751405688	?Deafness, autosomal dominant 77, 618915 (3)	-	-
HGNC:53	ABCC2	-0.076	n	n	MGI:1352447	viable	viable	viable	0.86404	0.758	0.986	NA	NA	NA	Dubin-Johnson syndrome, 237500 (3)	Dubin-Johnson syndrome	Autosomal recessive
HGNC:54	ABCC3	-0.069	n	n	MGI:1923658	-	viable	viable	0.71425	0.615	0.832	NA	NA	NA	-	-	-
HGNC:55	ABCC4	0.127	n	n	MGI:2443111	-	viable	viable	0.53573	0.445	0.648	0.0207772221477842	0.0184943447652169	0.0233254734857703	-	-	-
HGNC:56	ABCC5	0.051	n	n	MGI:1351644	viable	viable	viable	0.36606	0.295	0.456	0.0656639135254418	0.0547739822855338	0.0789624679646138	-	-	-
HGNC:57	ABCC6	-0.028	n	n	MGI:1351634	-	viable	viable	0.79144	0.684	0.918	NA	NA	NA	Arterial calcification, generalized, of infancy, 2, 614473 (3)|Pseudoxanthoma elasticum, 264800 (3)|Pseudoxanthoma elasticum, forme fruste, 177850 (3)	Arterial calcification, generalized, of infancy, 2|Pseudoxanthoma elasticum|Pseudoxanthoma elasticum, forme fruste	Autosomal recessive|Autosomal dominant
HGNC:59	ABCC8	0.16	n	n	MGI:1352629	viable	viable	viable	0.71996	0.626	0.83	0.013164077895134	0.0121427611926582	0.0142846429571722	Diabetes mellitus, noninsulin-dependent, 125853 (3)|Diabetes mellitus, permanent neonatal 3, with or without neurologic features, 618857 (3)|Diabetes mellitus, transient neonatal 2, 610374 (3)|Hyperinsulinemic hypoglycemia, familial, 1, 256450 (3)|Hypoglycemia of infancy, leucine-sensitive, 240800 (3)	Diabetes mellitus, noninsulin-dependent|Diabetes mellitus, permanent neonatal 3, with or without neurologic features|Diabetes mellitus, transient neonatal 2|Hyperinsulinemic hypoglycemia, familial, 1|Hypoglycemia of infancy, leucine-sensitive	Autosomal dominant|Autosomal dominant, Autosomal recessive|-
HGNC:60	ABCC9	-0.129	n	n	MGI:1352630	viable	viable	viable	0.46154	0.383	0.558	0.00495953612424984	0.00471393163931828	0.00521992220511099	?Atrial fibrillation, familial, 12, 614050 (3)|Cardiomyopathy, dilated, 1O, 608569 (3)|Hypertrichotic osteochondrodysplasia (Cantu syndrome), 239850 (3)|Intellectual disability and myopathy syndrome, 619719 (3)	Cardiomyopathy, dilated, 1O|Hypertrichotic osteochondrodysplasia (Cantu syndrome)|Intellectual disability and myopathy syndrome	Autosomal dominant|Autosomal recessive
HGNC:52	ABCC10	-0.166	n	n	MGI:2386976	viable	viable	viable	0.76587	0.657	0.895	0.00765672399013612	0.00715929282054053	0.00818288482079852	-	-	-
HGNC:14639	ABCC11	-0.032	n	n	-	-	-	-	0.86877	0.753	1.005	NA	NA	NA	[Axillary odor, variation in], 117800 (3)|[Colostrum secretion, variation in], 117800 (3)|[Earwax, wet/dry], 117800 (3)	-	-
HGNC:14640	ABCC12	0.25	n	n	MGI:2441679	viable	-	viable	0.88857	0.773	1.023	NA	NA	NA	-	-	-
HGNC:61	ABCD1	-0.141	n	n	MGI:1349215	-	viable	viable	NA	NA	NA	NA	NA	NA	Adrenoleukodystrophy, 300100 (3)|Adrenomyeloneuropathy, adult, 300100 (3)	Adrenoleukodystrophy|Adrenomyeloneuropathy, adult	X-linked recessive
HGNC:66	ABCD2	-0.087	n	n	MGI:1349467	-	viable	viable	0.52921	0.397	0.714	0.0187300337650459	0.0157672631910278	0.0222701347355068	-	-	-
HGNC:67	ABCD3	-0.172	n	n	MGI:1349216	viable	viable	viable	0.35096	0.258	0.484	0.0475056770923976	0.0394241219426556	0.0571411279794801	?Bile acid synthesis defect, congenital, 5, 616278 (3)	-	-
HGNC:68	ABCD4	-0.114	n	n	MGI:1349217	-	viable	viable	0.61193	0.488	0.773	0.0155502091522475	0.013641567548996	0.0177287394120239	Methylmalonic aciduria and homocystinuria, cblJ type, 614857 (3)	Methylmalonic aciduria and homocystinuria, cblJ type	Autosomal recessive
HGNC:69	ABCE1	-2.153	y	y	MGI:1195458	lethal	lethal	lethal	0.30263	0.201	0.466	0.185834398695933	0.122565634856961	0.280807822243274	-	-	-
HGNC:70	ABCF1	-1.043	y	y	MGI:1351658	-	lethal	lethal	0.56758	0.468	0.691	0.0268185228801269	0.0233858411101147	0.0306838165332295	-	-	-
HGNC:71	ABCF2	NA	-	-	-	-	-	-	0.46072	0.351	0.611	0.0742050605749828	0.0563658619892545	0.0977823331049177	-	-	-
HGNC:72	ABCF3	0.039	n	n	-	-	-	-	0.62903	0.512	0.777	0.0194970652534232	0.0169117929077122	0.022501730082338	-	-	-
HGNC:73	ABCG1	0.039	n	n	MGI:107704	-	viable	viable	0.41619	0.306	0.574	0.0316707191052773	0.0250648372594078	0.0401066935583284	-	-	-
HGNC:74	ABCG2	0.018	n	n	MGI:1347061	viable	viable	viable	1.0849	0.903	1.31	NA	NA	NA	[Junior blood group system], 614490 (3)|[Uric acid concentration, serum, QTL1], 138900 (3)	-	-
HGNC:13884	ABCG4	0.013	n	n	MGI:1890594	-	viable	viable	0.52394	0.399	0.695	0.0196720595082471	0.0164802731004419	0.0235321099172202	-	-	-
HGNC:13886	ABCG5	0.047	n	n	MGI:1351659	-	viable	viable	0.98022	0.793	1.22	0.00490082823353991	0.00452567472049048	0.00530531181241993	Sitosterolemia 2, 618666 (3)	Sitosterolemia 2	Autosomal recessive
HGNC:13887	ABCG8	-0.029	n	n	MGI:1914720	viable	viable	viable	1.1072	0.925	1.33	NA	NA	NA	Sitosterolemia 1, 210250 (3)|{Gallbladder disease 4}, 611465 (3)	Sitosterolemia 1	Autosomal recessive
HGNC:17553	ABHD1	0.004	n	n	-	-	-	-	1.0669	0.843	1.361	0.00219625509856137	0.00204750902970731	0.00235396612349694	-	-	-
HGNC:18717	ABHD2	-0.057	n	n	MGI:1914344	-	viable	viable	0.39281	0.275	0.571	0.0752202618311765	0.0498111852088922	0.11250763835796	-	-	-
HGNC:18718	ABHD3	-0.07	n	n	-	-	-	-	0.94774	0.747	1.212	0.00848275056011623	0.00742460363673746	0.00969068235880773	-	-	-
HGNC:20154	ABHD4	0.039	n	n	MGI:1915938	viable	viable	viable	0.78061	0.593	1.039	0.0102018037453284	0.00898639459197193	0.011536542757973	-	-	-
HGNC:21396	ABHD5	-0.01	n	n	MGI:1914719	-	lethal	lethal	0.67677	0.503	0.923	0.018210373060466	0.0154542697547954	0.0215258263893848	Chanarin-Dorfman syndrome, 275630 (3)	Chanarin-Dorfman syndrome	Autosomal recessive
HGNC:21398	ABHD6	0.066	n	n	MGI:1913332	viable	viable	viable	0.78299	0.582	1.068	0.00901033423647559	0.00768605880976348	0.0105808254394369	-	-	-
HGNC:23759	ABHD8	-0.039	n	n	MGI:1918946	viable	viable	viable	0.41773	0.271	0.664	0.00830807248178255	0.00727787818204304	0.00949556319633987	-	-	-
HGNC:25656	ABHD10	-0.008	n	n	MGI:2442422	viable	viable	viable	0.71444	0.502	1.038	0.0106919531300605	0.00922139517930334	0.0123746629712012	-	-	-
HGNC:16407	ABHD11	-0.308	n	n	MGI:1916008	viable	viable	viable	0.86119	0.63	1.195	0.00855310303002129	0.00733240809861604	0.0100005979867074	-	-	-
HGNC:15868	ABHD12	-0.012	n	n	MGI:1923442	-	viable	viable	0.7359	0.565	0.968	0.0149156132510877	0.0129091984251903	0.01725147677672	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract, 612674 (3)	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	Autosomal recessive
HGNC:19837	ABHD12B	0.066	n	n	MGI:2685650	viable	viable	viable	0.87665	0.676	1.149	NA	NA	NA	-	-	-
HGNC:20293	ABHD13	-0.107	n	n	MGI:1916154	viable	viable	viable	0.26852	0.152	0.504	0.14422802988912	0.0725307918079186	0.281794625644503	-	-	-
HGNC:24538	ABHD14A	0.074	n	n	MGI:1915894	viable	viable	viable	0.73734	0.513	1.082	0.0134102838121224	0.0108905302876822	0.0165294698988052	-	-	-
HGNC:28235	ABHD14B	-0.005	n	n	MGI:1923741	viable	-	viable	1.2711	0.891	1.79	NA	NA	NA	-	-	-
HGNC:26971	ABHD15	-0.244	n	n	MGI:1914727	viable	viable	viable	1.1118	0.845	1.48	0.00403489265002344	0.00365870643263568	0.0044485768727848	-	-	-
HGNC:13921	ABHD16A	0.044	n	n	MGI:99476	subviable	lethal	lethal	0.5381	0.425	0.686	0.0320865144250335	0.0269020605566748	0.0382415406622622	Spastic paraplegia 86, autosomal recessive, 619735 (3)	Spastic paraplegia 86, autosomal recessive	Autosomal recessive
HGNC:16128	ABHD16B	0.037	n	n	-	-	-	-	1.7048	1.128	1.955	0.0067691864029259	0.00551053953224237	0.0083469682426439	-	-	-
HGNC:28756	ABHD17A	-0.277	n	n	MGI:106388	viable	viable	viable	0.43412	0.254	0.783	NA	NA	NA	-	-	-
HGNC:24278	ABHD17B	-0.003	n	n	MGI:1917816	viable	viable	viable	0.33212	0.199	0.58	0.0783256248961545	0.0490413364589118	0.125288366117498	-	-	-
HGNC:26925	ABHD17C	0.065	n	n	MGI:1917428	viable	viable	viable	0.55603	0.349	0.92	0.0642353482769907	0.0400514859972327	0.102977523037701	-	-	-
HGNC:26111	ABHD18	0.049	n	n	-	-	-	-	0.73132	0.529	1.028	NA	NA	NA	-	-	-
HGNC:11320	ABI1	-0.161	n	n	MGI:104913	-	lethal	lethal	0.25826	0.167	0.411	0.105977126281386	0.0709594602870511	0.157371097475868	-	-	-
HGNC:24011	ABI2	-0.002	n	n	MGI:106913	viable	viable	viable	0.39879	0.277	0.585	0.080957625707236	0.0566416977394077	0.11585406737076	-	-	-
HGNC:29859	ABI3	0.031	n	n	MGI:1913860	viable	-	viable	0.79216	0.573	1.114	0.0371706958699011	0.0270965945008627	0.0507057674563182	-	-	-
HGNC:17265	ABI3BP	0.017	n	n	MGI:2444583	subviable	lethal	lethal	0.82733	0.725	0.946	NA	NA	NA	-	-	-
HGNC:1364	ABITRAM	0.014	n	n	MGI:2677850	viable	viable	viable	0.76387	0.51	1.176	0.00192795241065876	0.00176247664987745	0.0021062817889158	-	-	-
HGNC:76	ABL1	0.027	n	n	MGI:87859	-	lethal	lethal	0.11501	0.071	0.19	0.0425342146195417	0.0349454001062945	0.0515280084837304	Congenital heart defects and skeletal malformations syndrome, 617602 (3)|Leukemia, Philadelphia chromosome-positive, resistant to imatinib, 608232 (3)	Congenital heart defects and skeletal malformations syndrome	Autosomal dominant
HGNC:77	ABL2	0.045	n	n	MGI:87860	-	viable	viable	0.45513	0.36	0.579	0.00536336218950719	0.00504951242111109	0.00569663991539481	-	-	-
HGNC:78	ABLIM1	0.129	n	n	MGI:1194500	-	viable	viable	0.39458	0.305	0.515	0.0406708229923442	0.0337858190125131	0.0490627540960833	-	-	-
HGNC:19195	ABLIM2	0.017	n	n	MGI:2385758	viable	viable	viable	0.59172	0.474	0.744	0.0272841031435119	0.0234839812454918	0.0317929441320842	-	-	-
HGNC:29132	ABLIM3	-0.002	n	n	MGI:2442582	viable	viable	viable	0.55855	0.454	0.691	0.0148498853716203	0.0133549477404801	0.0165538034303457	-	-	-
HGNC:79	ABO	NA	-	-	MGI:2135738	viable	viable	viable	0.96809	0.733	1.294	NA	NA	NA	[Blood group, ABO system], 616093 (3)	-	-
HGNC:81	ABR	-0.09	n	n	MGI:107771	-	viable	viable	0.32549	0.248	0.432	0.0770966577907144	0.0589660792690942	0.101580208814571	-	-	-
HGNC:30655	ABRA	0.185	n	n	MGI:2444891	-	viable	viable	0.71181	0.518	0.994	0.00602409879638036	0.00534081508595141	0.00680478209747543	-	-	-
HGNC:21230	ABRACL	0.114	n	n	-	-	-	-	0.54576	0.268	1.244	0.0221644055178844	0.014158554539165	0.0345944051874681	-	-	-
HGNC:25829	ABRAXAS1	-0.297	n	n	MGI:1917931	-	viable	viable	0.86272	0.569	1.348	0.009166626493667	0.00784915791836782	0.0106549246915396	-	-	-
HGNC:28975	ABRAXAS2	0.173	n	n	MGI:1926116	viable	-	viable	0.39569	0.253	0.641	0.0262225614964799	0.020979327100008	0.0327647292328532	-	-	-
HGNC:17369	ABT1	-1.307	y	y	-	-	-	-	0.76828	0.506	1.201	0.0161047293649208	0.0116275555622638	0.0223664524268028	-	-	-
HGNC:18275	ABTB1	0.006	n	n	MGI:1933148	viable	viable	viable	0.78273	0.615	1.004	NA	NA	NA	-	-	-
HGNC:23842	ABTB2	0.039	n	n	MGI:2139365	viable	viable	viable	0.58709	0.473	0.733	0.0420046159989788	0.0343211826759921	0.0514515547061315	-	-	-
HGNC:23844	ABTB3	0.026	n	n	-	-	-	-	0.33476	0.251	0.452	0.110737553854091	0.079065021189664	0.153859536218872	-	-	-
HGNC:82	ACAA1	0.009	n	n	-	-	-	-	0.93366	0.732	1.2	0.0192354336317473	0.0159657921983125	0.0231239722934048	-	-	-
HGNC:83	ACAA2	-0.01	n	n	-	-	-	-	0.84716	0.633	1.149	0.00478459237050074	0.00428313215221023	0.00533737621870081	-	-	-
HGNC:84	ACACA	-0.374	n	n	MGI:108451	-	lethal	lethal	0.31317	0.262	0.374	0.0852203354833336	0.073236719500534	0.0993132720234844	Acetyl-CoA carboxylase deficiency, 613933 (1)	-	-
HGNC:85	ACACB	-0.165	n	n	MGI:2140940	-	viable	viable	0.75037	0.667	0.844	0.00870731164077779	0.00824738704845098	0.00918435255965427	-	-	-
HGNC:87	ACAD8	-0.012	n	n	MGI:1914198	-	viable	viable	0.86675	0.682	1.111	0.00567330155489016	0.00518535773370306	0.00619905353125558	Isobutyryl-CoA dehydrogenase deficiency, 611283 (3)	Isobutyryl-CoA dehydrogenase deficiency	Autosomal recessive
HGNC:21497	ACAD9	-0.244	n	n	MGI:1914272	-	lethal	lethal	0.70204	0.561	0.885	0.016786551022243	0.0144435364425756	0.019495847091142	Mitochondrial complex I deficiency, nuclear type 20, 611126 (3)	Mitochondrial complex I deficiency, nuclear type 20	Autosomal recessive
HGNC:21597	ACAD10	-0.079	n	n	MGI:1919235	viable	viable	viable	0.89741	0.769	1.051	NA	NA	NA	-	-	-
HGNC:30211	ACAD11	0.066	n	n	MGI:2143169	viable	viable	viable	0.81822	0.666	1.011	NA	NA	NA	-	-	-
HGNC:88	ACADL	0.018	n	n	MGI:87866	-	lethal	lethal	0.97385	0.758	1.264	0.00471331773275458	0.00430587061521213	0.00516296492616168	-	-	-
HGNC:89	ACADM	0.03	n	n	MGI:87867	viable	lethal	lethal	0.82459	0.639	1.073	0.0131588258911939	0.0113492232941759	0.0152602869859704	Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3)	Acyl-CoA dehydrogenase, medium chain, deficiency of	Autosomal recessive
HGNC:90	ACADS	-0.073	n	n	MGI:87868	-	viable	viable	0.62176	0.46	0.852	0.00779765888292803	0.00682168793203141	0.00890311084998329	Acyl-CoA dehydrogenase, short-chain, deficiency of, 201470 (3)	Acyl-CoA dehydrogenase, short-chain, deficiency of	Autosomal recessive
HGNC:91	ACADSB	0.009	n	n	MGI:1914135	viable	viable	viable	0.65409	0.486	0.892	0.00147243863765766	0.00139348821292149	0.00155694398359961	2-methylbutyrylglycinuria, 610006 (3)	2-methylbutyrylglycinuria	Autosomal recessive
HGNC:92	ACADVL	-0.005	n	n	MGI:895149	viable	viable	viable	0.88695	0.733	1.078	0.00878685649945656	0.00790974615557737	0.009765900248628	VLCAD deficiency, 201475 (3)	VLCAD deficiency	Autosomal recessive
